doc_id,page_num,page_type,section_label,block_id,block_text,requirement_type_candidate,requirement_strength,requirement_confidence,deep_prediction,deep_confidence,deep_prediction_label,prediction_status,final_prediction,lime_predicted_label,lime_confidence,lime_top_tokens,lime_token_weights,lime_explanation,xai_method
1995 gemini,19,content_page,general_description,2,Observing astronomers shall have no privileges as far as the direct control of the telescope,other,strong,0.6,1,0.5415627,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,NFR,0.5416,"[np.str_('far'), np.str_('no'), np.str_('shall'), np.str_('as'), np.str_('privileges'), np.str_('control'), np.str_('astronomers'), np.str_('the')]","[0.21601, 0.14808, 0.14339, -0.12351, 0.10137, 0.07763, 0.06411, -0.06101]","LIME explains the fine-tuned DistilBERT prediction 'NFR' with confidence 0.542. The most influential words according to local perturbations are: far, no, shall, as, privileges, control, astronomers, the.",LIME_TextExplainer_DistilBERT
1999 tcs scanned,105,content_page,appendices,17,"SSS3+6 The TCS safety requirements are intended to eliminate Or control potential hazards t0 equipment and personnel involved in the TCS The TCS shall comply with para 5.3 of MLL-STD S82C, System Safety Program Requirements' dated 19 January 1993 W Notice dated 19 January 1996.",other,strong,0.6,0,0.6886182,FR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,FR,0.6886,"[np.str_('comply'), np.str_('requirements'), np.str_('shall'), np.str_('dated'), np.str_('are'), np.str_('safety'), np.str_('System'), np.str_('SSS3')]","[-0.11798, 0.11772, -0.10416, -0.10245, -0.10074, -0.09853, -0.08557, 0.07899]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.689. The most influential words according to local perturbations are: comply, requirements, shall, dated, are, safety, System, SSS3.",LIME_TextExplainer_DistilBERT
2009 warc iii scanned,7,content_page,,1,FR 6 The migration workfiow shall be able to call external tools and services (e.g _ database queries shell commands web service).,unknown,strong,0.6,0,0.99438703,FR,HIGH_CONFIDENCE,FR,FR,0.9944,"[np.str_('6'), np.str_('to'), np.str_('able'), np.str_('be'), np.str_('tools'), np.str_('e'), np.str_('workfiow'), np.str_('commands')]","[0.0298, 0.02351, -0.02276, -0.02194, 0.01827, -0.01521, 0.01311, 0.01032]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.994. The most influential words according to local perturbations are: 6, to, able, be, tools, e, workfiow, commands.",LIME_TextExplainer_DistilBERT
2006 eirene sys 15,53,content_page,introduction,31,All handheld mobile equipment shall be capable of withstanding the following shocks:,other,strong,0.6,1,0.8317415,NFR,HIGH_CONFIDENCE,NFR,NFR,0.8317,"[np.str_('shall'), np.str_('withstanding'), np.str_('mobile'), np.str_('be'), np.str_('following'), np.str_('All'), np.str_('the'), np.str_('capable')]","[0.29604, 0.27436, 0.14621, 0.14428, 0.13449, 0.12721, -0.09142, 0.08934]","LIME explains the fine-tuned DistilBERT prediction 'NFR' with confidence 0.832. The most influential words according to local perturbations are: shall, withstanding, mobile, be, following, All, the, capable.",LIME_TextExplainer_DistilBERT
2007 eirene fun 7,51,content_page,functional_requirements,47,"changed, facilities should be provided on the Cab radio in order to prevent this",FR,medium,0.9,1,0.5911155,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,NFR,0.5911,"[np.str_('prevent'), np.str_('in'), np.str_('facilities'), np.str_('on'), np.str_('provided'), np.str_('this'), np.str_('radio'), np.str_('Cab')]","[0.24975, 0.17259, 0.13289, 0.10831, 0.0833, -0.07243, 0.06817, -0.03637]","LIME explains the fine-tuned DistilBERT prediction 'NFR' with confidence 0.591. The most influential words according to local perturbations are: prevent, in, facilities, on, provided, this, radio, Cab.",LIME_TextExplainer_DistilBERT
2004 rlcs,26,content_page,introduction,33,id. The RLCS software will then proceed to make sure that all the,other,soft,0.4,0,0.9316454,FR,HIGH_CONFIDENCE,FR,FR,0.9316,"[np.str_('software'), np.str_('The'), np.str_('sure'), np.str_('all'), np.str_('make'), np.str_('will'), np.str_('id'), np.str_('RLCS')]","[-0.06687, 0.05203, -0.05127, -0.0411, 0.02988, 0.02627, -0.02262, -0.0217]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.932. The most influential words according to local perturbations are: software, The, sure, all, make, will, id, RLCS.",LIME_TextExplainer_DistilBERT
1995 gemini scanned,43,content_page,general_description,8,3.2.5 Procedures There must be automatic procedures to implement startup and shutdown of the telescope and instruments. These must allow startup and shutdown of instruments independently of the telescope and without affecting the telescope operation.,other,strong,0.6,0,0.8978237,FR,HIGH_CONFIDENCE,FR,FR,0.8978,"[np.str_('automatic'), np.str_('5'), np.str_('shutdown'), np.str_('to'), np.str_('operation'), np.str_('without'), np.str_('must'), np.str_('2')]","[-0.06892, 0.03776, -0.03602, -0.03322, -0.02807, -0.02495, 0.02265, 0.01892]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.898. The most influential words according to local perturbations are: automatic, 5, shutdown, to, operation, without, must, 2.",LIME_TextExplainer_DistilBERT
2001 beyond,31,content_page,,7,• The UI Editor should also dispose of a facility to associate an event to more than,unknown,medium,0.5,0,0.9891683,FR,HIGH_CONFIDENCE,FR,FR,0.9892,"[np.str_('to'), np.str_('more'), np.str_('dispose'), np.str_('The'), np.str_('a'), np.str_('should'), np.str_('of'), np.str_('than')]","[0.01089, -0.00852, 0.00817, 0.00635, -0.00558, -0.00481, 0.00437, -0.00425]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.989. The most influential words according to local perturbations are: to, more, dispose, The, a, should, of, than.",LIME_TextExplainer_DistilBERT
2005 triangle,8,content_page,introduction,3,This software will be released under the GPL-license.,other,soft,0.4,0,0.7768089,FR,HIGH_CONFIDENCE,FR,FR,0.7768,"[np.str_('software'), np.str_('license'), np.str_('released'), np.str_('the'), np.str_('be'), np.str_('under'), np.str_('will'), np.str_('This')]","[-0.12138, -0.08479, -0.05753, 0.05151, -0.03814, -0.02501, -0.02482, -0.00228]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.777. The most influential words according to local perturbations are: software, license, released, the, be, under, will, This.",LIME_TextExplainer_DistilBERT
1999 tcs,66,content_page,appendices,8,"The TCS shall provide the functional capability to train in the operation of the TCS system, performance of",other,strong,0.6,0,0.97151744,FR,HIGH_CONFIDENCE,FR,FR,0.9715,"[np.str_('the'), np.str_('shall'), np.str_('performance'), np.str_('capability'), np.str_('The'), np.str_('functional'), np.str_('in'), np.str_('system')]","[0.03751, -0.02723, -0.01464, 0.01201, 0.0113, -0.01004, -0.00795, -0.00754]","LIME explains the fine-tuned DistilBERT prediction 'FR' with confidence 0.972. The most influential words according to local perturbations are: the, shall, performance, capability, The, functional, in, system.",LIME_TextExplainer_DistilBERT
