section_id,section_title,evidence_rank,evidence_type,evidence_requirement_type,evidence_section_label,evidence_similarity,evidence_text,explanation
1,Introduction,1,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1267,5.1.4. Transfer outside university should be approved by the university group,This evidence was retrieved because it is semantically similar to the requested section 'Introduction' and project context.
1,Introduction,2,HIGH_QUALITY_REQUIREMENT,NFR,appendices,0.122,"1.4 Project Scope According to GAMMA-J's Functional Needs Statement this Web Store will: Manage customer accounts Manage an online store inventory Manage a customer's ""Shopping Cart"" Confirm Orders Have an unambiguous interface to assist in browsing the categories and products Use Secure Socket Layer (SSL) for security Have an availability of 99.999% Allow an optional mirror site for reliability and backups Feature interface for future software enhancement via 'Plug-ins"" The initial inventory will be 100 items Expandable with unique codes, the owners can purchase to expand the inventory: The minimum total inventory will be 20,000 items_ Since this will be a ""Plug and Play device no software installation will be necessary. This software will contain all of the basic needs to manage an online store. Advanced needs can be added in the future via ""plug-ins. More detail on the functionality of the Web Store can be found in part 3. System Features and in the function Needs statement",This evidence was retrieved because it is semantically similar to the requested section 'Introduction' and project context.
1,Introduction,3,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1167,Generates a parsed target file from a target-parser file and a target. The parser-program file must have,This evidence was retrieved because it is semantically similar to the requested section 'Introduction' and project context.
1,Introduction,4,HIGH_QUALITY_REQUIREMENT,FR,introduction,0.1146,The system must be able to define and manage various type of,This evidence was retrieved because it is semantically similar to the requested section 'Introduction' and project context.
1,Introduction,5,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1127,The C2C project will be implemented using the evolving ITS Traffic Management Data,This evidence was retrieved because it is semantically similar to the requested section 'Introduction' and project context.
2,General Description,1,HIGH_QUALITY_REQUIREMENT,UNCERTAIN,appendices,0.145,The TCS software shall be Defense Information Infrastructure/Common Operating Environment,This evidence was retrieved because it is semantically similar to the requested section 'General Description' and project context.
2,General Description,2,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1211,5.1.4. Transfer outside university should be approved by the university group,This evidence was retrieved because it is semantically similar to the requested section 'General Description' and project context.
2,General Description,3,HIGH_QUALITY_REQUIREMENT,FR,functional_requirements,0.1042,or products. The inventory management will allow for administrators to update the,This evidence was retrieved because it is semantically similar to the requested section 'General Description' and project context.
2,General Description,4,HIGH_QUALITY_REQUIREMENT,FR,appendices,0.1029,The TCS shall have the functionality necessary to manage all aspects of C4I system interfaces to,This evidence was retrieved because it is semantically similar to the requested section 'General Description' and project context.
2,General Description,5,HIGH_QUALITY_REQUIREMENT,FR,introduction,0.1012,The system must be able to define and manage various type of,This evidence was retrieved because it is semantically similar to the requested section 'General Description' and project context.
