section_id,section_title,section_word_count,generated_requirement_count,avg_generated_requirement_quality,weak_generated_requirements,needs_review_generated_requirements,rag_avg_similarity,rag_retrieval_quality,section_xai_explanation
1,Introduction,580,0,0.0,0,0,0.1113,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
2,General Description,768,18,93.47,0,0,0.1072,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'This section contains 18 generated requirements.', 'Generated requirements in this section are mostly strong.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
3,Functional Requirements,916,23,93.7,0,0,0.1401,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'This section contains 23 generated requirements.', 'Generated requirements in this section are mostly strong.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
4,Non-Functional Requirements,271,6,89.58,0,0,0.1317,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'This section contains 6 generated requirements.', 'Generated requirements in this section are mostly strong.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
5,Interface Requirements,809,11,94.55,0,0,0.1295,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'This section contains 11 generated requirements.', 'Generated requirements in this section are mostly strong.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
6,Performance Requirements,796,6,95.42,0,0,0.1118,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'This section contains 6 generated requirements.', 'Generated requirements in this section are mostly strong.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
7,Security Requirements,847,9,94.44,0,0,0.1143,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'This section contains 9 generated requirements.', 'Generated requirements in this section are mostly strong.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
8,Acceptance Criteria,718,40,91.69,0,0,0.1092,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'This section contains 40 generated requirements.', 'Generated requirements in this section are mostly strong.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
9,Risks and Assumptions,461,0,0.0,0,0,0.1089,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
10,Conclusion,763,31,96.29,0,0,0.1102,ACCEPTABLE_RETRIEVAL,"['The section has sufficient textual content.', 'This section contains 31 generated requirements.', 'Generated requirements in this section are mostly strong.', 'RAG retrieval quality for this section is ACCEPTABLE_RETRIEVAL.']"
