doc_id,page_num,image_file_name,image_path,pdf_file_name,pdf_path,xml_file_name,xml_path,has_pdf,has_xml,page_text,char_count,word_count,source_type,ocr_used,heading_candidates,page_type
0000 cctns,1,0000 - cctns-01.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-01.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-GOVERNANCE  
MISSION MODE PROJECT (MMP)  
 
CRIME & CRIMINAL TRACKING 
NETWORK AND SYSTEMS 
(CCTNS) 
 
 
 
FUNCTIONAL REQUIREMENTS 
SPECIFICATION V1.0 
(DRAFT) 
 
 
 
 
 
 
 
 
 
 
 
 
MINISTRY OF HOME AFFAIRS 
GOVERNMENT OF INDIA 
",234,25,pdf_text,False,"['E-GOVERNANCE', 'MISSION MODE PROJECT (MMP)', 'CRIME & CRIMINAL TRACKING', 'NETWORK AND SYSTEMS', '(CCTNS)', 'FUNCTIONAL REQUIREMENTS', 'SPECIFICATION V1.0', '(DRAFT)', 'MINISTRY OF HOME AFFAIRS', 'GOVERNMENT OF INDIA']",cover_page
0000 cctns,2,0000 - cctns-02.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-02.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 2 of 19 
 
TABLE OF CONTENTS 
 
 
S. NO. 
CONTENTS 
1. 
INTRODUCTION 
2. 
FUNCTIONAL OVERVIEW 
3. 
DESCRIPTION OF THE MODULES AND FUNCTIONAL REQUIREMENTS 
4. 
NON-FUNCTIONAL REQUIREMENTS 
5. 
FUNCTIONAL ARCHITECTURE RECOMMENDATIONS 
A1 
REGISTRATION 
A2 
INVESTIGATION 
A3 
PROSECUTION 
A4 
SEARCH 
A5 
CITIZEN INTERFACE MODULE 
A6 
NAVIGATION MODULE 
A7 
CONFIGURATION MODULE 
 
 
 
 
",587,67,pdf_text,False,"['TABLE OF CONTENTS', 'CONTENTS', 'INTRODUCTION', 'FUNCTIONAL OVERVIEW', 'DESCRIPTION OF THE MODULES AND FUNCTIONAL REQUIREMENTS', 'NON-FUNCTIONAL REQUIREMENTS', 'FUNCTIONAL ARCHITECTURE RECOMMENDATIONS', 'REGISTRATION', 'INVESTIGATION', 'PROSECUTION', 'SEARCH', 'CITIZEN INTERFACE MODULE', 'NAVIGATION MODULE', 'CONFIGURATION MODULE']",toc_page
0000 cctns,3,0000 - cctns-03.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-03.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 3 of 19 
 
1. INTRODUCTION 
 
The Functional Requirements Specifications (FRS) report provides the detailed description 
of the functionalities required for the first version of the CCTNS. The key guiding principle 
behind the functional design of CCTNS V1.0 is to focus on the critical functionality that 
provides value to the police personnel at the cutting edge which in turn can improve the 
outcomes in the areas of “Investigation of Crime” and “Detection of Criminals”. 
 
2. FUNCTIONAL OVERVIEW 
 
CCTNS V1.0 functionality is designed to focus on delivering value to IOs, records room 
staff and citizens within the broad crime investigation area. Based on the guiding principles 
stated above, nine different function blocks have been identified and the detailed 
functionality of each block was determined.  
 
 
 
 
",1028,142,pdf_text,False,"['1. INTRODUCTION', '2. FUNCTIONAL OVERVIEW']",content_page
0000 cctns,4,0000 - cctns-04.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-04.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 4 of 19 
3. DESCRIPTION OF THE MODULES AND FUNCTIONAL REQUIREMENTS 
 
The functionality of the CCTNS application is focused on providing value to the police 
personnel, especially the officers operating at the cutting edge and easing the day to day 
operations of the police function.  
 
Registration 
Citizens can register their complaints with police and then based on the evidence, facts and 
following investigation, police shall take the complaint forward. The Registration module 
acts as an interface between the police and citizens and it eases the approach, interaction and 
information exchange between police and complainants. 
 
Investigation 
After a complaint is initiated, police initiates the investigation process. The Investigation 
module of the CCTNS facilitates the investigation process and introduces operational 
efficiencies by automating most of the tasks that take place after initial entries are made 
during Registration. 
 
Prosecution 
Interfacing with the courts during the prosecution of cases is an integral part of the 
responsibilities of police personnel. A designated constable from each police station 
constantly interfaces with the courts. The Prosecution module of the CCTNS aids this 
interfacing by providing a platform to record entries of the court interactions. 
 
Search 
The Search module of the CCTNS gives police personnel the ability to execute a basic or 
advanced search on cases. Using the search functionality, police personnel can search for a 
particular person, type of crime, modus operandi, property etc. It also gives the user the 
ability to customize the results view by criminal/accused or by cases. It makes reporting easy 
for police by enabling them to execute different types of queries such as monthly reporting, 
RTI related etc. 
 
",2006,286,pdf_text,False,['3. DESCRIPTION OF THE MODULES AND FUNCTIONAL REQUIREMENTS'],content_page
0000 cctns,5,0000 - cctns-05.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-05.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 5 of 19 
Citizen Interface 
The Citizen Interface module of the CCTNS acts as a conduit for the information exchange 
between citizens and police units/personnel. Citizens can use it as a tool to get information 
or acknowledgements from police. The police in turn can use it to respond to citizens with 
very little turnaround time. It improves overall productivity by helping citizens and police to 
cut short the drudgery of large amounts of paperwork. 
 
Navigation 
The Navigation module of the CCTNS provides role based landing pages which help in 
navigating through the CCTNS application. It shows information such as cases assigned, 
alerts, pending tasks etc hence helping police personnel to plan better and execute with 
greater efficiency. 
 
Application Configuration 
The Configuration module of the CCTNS helps keep the application configured according 
to the states’ requirements in addition to keeping data elements/rules up to date. With a 
proper configuration, information such as act and sections, state specific data, castes, tribes, 
property information etc. can be created updated and deleted. 
 
The functional requirements for each of the modules are provided as A1 to A7 in separate 
enclosures. 
 
 
 
 
 
 
 
 
 
 
 
",1450,205,pdf_text,False,[],content_page
0000 cctns,6,0000 - cctns-06.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-06.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 6 of 19 
4. NON-FUNCTIONAL REQUIREMENTS 
 
The non-functional requirements specify the qualitative attributes such as user-friendliness 
and performance of the system that are critical for the increased user-acceptance of the 
application. 
 
Help Module 
1.  
The solution should provide detailed context-sensitive help material for all the 
possible actions and scenarios on all user interfaces in the application. 
2.  
The help should be accessible to the users both in the offline and online mode 
 
Support Module 
1.  
The solution should provide an interface for the user to log any defects or 
enhancement requests on the application and track thereafter. 
2.  
The solution should send alerts (e.g., email, SMS) to the user if the user chooses 
to whenever any action has been taken on the alert 
3.  
The solution should enable the user to track the submitted defect or 
enhancement request. 
4.  
The solution should enable the help-desk user to view the reports on the 
submitted defects or enhancement requests category-wise, status-wise, and age-
wise. 
5.  
The support solution should be accessible to the users both from within the 
application and also outside the application through a browser interface. 
 
 Audit Module 
1.  
An audit trail is a record of actions taken by either the user or the system 
triggers. This includes actions taken by users or Administrators, or actions 
initiated automatically by the system as a result of system parameters. The 
System must keep an unalterable audit trail capable of automatically capturing 
and storing information about: 
• All the actions (create/read/update/delete) that are taken upon the critical 
entities (case, suspect, property,…) in the system 
• The user initiating and or carrying out the action; 
• The date and time of the event. 
",2016,299,pdf_text,False,['4. NON-FUNCTIONAL REQUIREMENTS'],content_page
0000 cctns,7,0000 - cctns-07.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-07.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 7 of 19 
• Administrative parameters 
The word “unalterable” is to mean that the audit trail data cannot be modified 
in any way or deleted by any user; it may be subject to re-department and 
copying to removable media if required, so long as its contents remain 
unchanged. 
2.  
Once the audit trail functionality has been activated, the System must track 
events without manual intervention, and store in the audit trail information 
about them. 
3.  
The System must maintain the audit trail for as long as required, which will be at 
least for the life of the case to which it refers. 
4.  
The System must ensure that audit trail data is available for inspection on 
request, so that a specific event can be identified and all related data made 
accessible, and that this can be achieved by authorised external personnel who 
have little or no familiarity with the system. 
5.  
The System must be able to export audit trails for specified cases (without 
affecting the audit trail stored by the System). This functionality can be used by 
external auditors who wish to examine or analyse system activity. 
6.  
The System must be able to capture and store violations (i.e. A user’s attempts 
to access a case to which he is denied access), and (where violations can validly 
be attempted) attempted violations, of access control mechanisms. 
7.  
The System must at a minimum be able to provide reports for actions on cases 
organised: 
• By case; 
• By user; 
• In chronological sequence. 
8.  
The System should be able to provide reports for actions on cases organised by 
workstation and (where technically appropriate) by network address. 
 
The requirements specify the requirements to control the user access to correspondences, 
files, and records and various functionalities provided within the system.  
Access Module 
1.  
The System must allow the user to limit access to cases to specified users or 
user groups. 
2.  
The system should provide for role-based control for the functionality within 
",2220,350,pdf_text,False,[],toc_page
0000 cctns,8,0000 - cctns-08.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-08.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 8 of 19 
the system. 
3.  
The System must allow a user to be a member of more than one group. 
4.  
The System must allow only admin-users to set up user profiles and allocate 
users to groups. 
5.  
The System should allow a user to stipulate which other users or groups can 
access cases.  
6.  
The System must allow changes to security attributes for groups or users (such 
as access rights, security level, privileges, password allocation and management) 
to be made only by super-user. 
7.  
If a user requests access to, or searches for, a case which he does not have the 
right to access, the System must provide one of the following responses 
(selectable at configuration time): 
• display title and metadata; 
• display the existence of a case but not its title or other metadata; 
• do not display any case information or indicate its existence in any way. 
These options are presented in order of increasing security.  Note that the 
requirement in the third option (i.e. the most stringent) implies that the System 
must not include such cases in any count of search results; this level of security 
is normally appropriate for cases dealing with matters such as national security. 
8.  
If a user performs a quick or advanced search, the System must never include in 
the search result list any record which the user does not have the right to access.
9.  
If the System allows users to make unauthorised attempts to access cases, it 
must log these in the audit trail.  
10.  
Any access to cases, and all other activities involving the cases and related 
documents or data should also need to be stored in the audit trail to ensure legal 
admissibility and to assist in data recovery. 
 
Ease of Use 
1. 
All error messages produced by the System must be meaningful, so that they can be 
appropriately acted upon by the users who are likely to see them. Ideally, each error 
message will be accompanied by explanatory text and an indication of the action(s) 
which the user can take in response to the error. 
2. 
The System must employ a single set of user interface rules, or a small number of 
sets to provide a familiar and common look and feel for the application.  
",2391,401,pdf_text,False,[],content_page
0000 cctns,9,0000 - cctns-09.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-09.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 9 of 19 
3. 
The System must be able to display several entities (cases, suspects) simultaneously. 
4. 
The interfaces must be made customizable or user-configurable to the extent 
possible. (e.g., the displayed columns in the table, move, resize, modify the 
appearance). Such configurations must be saved in the user profile. 
5. 
The System user interface must be suitable for users with special needs; that is, 
compatible with specialist software that may be used and with appropriate interface 
guidelines 
6. 
The System must provide End User and Administrator functions which are easy to 
use and intuitive throughout. 
7. 
The System must allow persistent defaults for data entry where desirable.  These 
defaults should include: 
• user-definable values; 
• values same as previous item; 
• values derived from context, e.g. date, file reference, user identifier; 
8. 
Frequently-executed System transactions must be designed so that they can be 
completed with a small number of interactions (e.g. mouse clicks). 
9. 
Where the System employs a graphical user interface, it must allow users to 
customise it. Customisation should include, but need not be limited to the following 
changes: 
• menu contents; 
• layout of screens; 
• use of function keys; 
• on-screen colours, fonts and font sizes; 
 
Usability 
1.  
The user interfaces should be designed to make them user-intuitive. 
2.  
The user interfaces of the system should comply with Standard ISO 9241. 
3.  
ICT accessibility: ISO 9241-20 shall be the standard for guidance on ICT 
accessibility. Application user interfaces to meet its requirements and 
recommendations. Software accessibility ISO 9241-171 shall be the standard for 
guidance on software accessibility. User interfaces should meet its requirements 
and recommendations. Content accessibility WCAG 1.0 shall be the standard used 
for guidance on content accessibility. The application logo to be available on all 
pages as a link to the home page. 
",2190,320,pdf_text,False,['accessibility. Application user interfaces to meet its requirements and'],toc_page
0000 cctns,10,0000 - cctns-10.png,/kaggle/input/datasets/yomnaahelali/page-image/page_images/0000 - cctns/0000 - cctns-10.png,0000 - cctns.pdf,/kaggle/input/datasets/yomnaahelali/raw-document/0000 - cctns.pdf,,,1,0,"E-Governance Mission Mode Project: Crime & Criminals Tracking Network and Systems 
Ministry of Home Affairs                               Draft Core Scope Document                                 Page 10 of 19 
4.  
Providing text equivalents for non-text media objects: All non-text media objects, 
such as graphical images or video, should be provided with alternative equivalent 
textual descriptions and/or with equivalent text-based functionality. 
5.  
Making navigation self-descriptive: Navigation should be designed to help users 
understand where they are, where they have been and where they can go next. 
General guidance on achieving self-descriptiveness is given in ISO 9241-110.  
6.  
Showing users where they are: Each presentation segment (page or window) 
should provide the user with a clear and sufficient indication of where he or she is 
in the navigation structure and of the current segment position with respect to the 
overall structure. 
7.  
Offering alternative access paths: Alternative access paths for navigating to a 
specific unit of content should be offered to support different navigation 
strategies.  
8.  
Minimizing navigation effort: The number of navigation steps needed to reach a 
certain piece of content should be minimized as long as different mental models, 
navigation strategies and tasks of the user are taken into account.  
9.  
Splash screens should be avoided unless they provide useful content or feedback 
about the application state to the user. If a splash screen is used, a navigation 
option to skip it should be offered. 
10.  
Avoiding opening unnecessary windows: Additional windows such as new browser 
windows or pop-up windows should only be opened if this supports the user’s 
task. Opening new windows can distract, confuse or impede users for a variety of 
reasons. They can superimpose the primary window, hiding relevant information. 
They could make it cognitively more difficult to understand the navigation 
structure with negative effects on both usability and accessibility. They also require 
additional user actions for closing unwanted windows. 
11.  
Vertical scrolling should be minimized. This may be done by placing important 
information at the top and providing links to information that is further down the 
page. Horizontal scrolling should be avoided wherever possible. 
12.  
Designing for input device independence: User interfaces should be designed to 
allow activation of controls by a variety of input devices. The ability to choose 
between different input devices for activating controls such as links, fields and 
buttons is important both for users who prefer a certain input mode, mobile users 
and users with disabilities. In general, device independence can be achieved if the 
functionality is operable via a keyboard. 
13.  
Making user interfaces robust: User interfaces should be designed to be as robust 
as possible in the face of changing technology. This encompasses being able to 
present content containing newer technologies by older user agents as well as 
",3073,452,pdf_text,False,[],content_page
