doc_id,toc_headings_norm,real_headings_norm,toc_items_count,real_items_count,matched_items_count,matched_items,missing_in_document,missing_in_toc,toc_consistency_score,has_toc_detected,toc_status
0000 cctns,"['introduction', 'non-functional requirements']","['introduction', 'description of the modules and functional requirements', 'non-functional requirements']",2,3,2,"['introduction', 'non-functional requirements']",[],['description of the modules and functional requirements'],0.667,True,partial
0000 cctns scanned,[],['non-functional requirements'],0,1,0,[],[],['non-functional requirements'],0.0,False,no_toc_detected
0000 gamma j,[],"['external interface requirements', 'introduction', 'appendix glossary', 'appendix use cases', 'appendix analysis models', 'appendix issues list', 'appendix data dictionary']",0,7,0,[],[],"['external interface requirements', 'introduction', 'appendix glossary', 'appendix use cases', 'appendix analysis models', 'appendix issues list', 'appendix data dictionary']",0.0,False,no_toc_detected
0000 gamma j scanned,[],"['external interface requirements', 'introduction', 'appendix glossary', 'appendix use cases', 'appendix analysis models', 'appendix issues list', 'appendix data dictionary']",0,7,0,[],[],"['external interface requirements', 'introduction', 'appendix glossary', 'appendix use cases', 'appendix analysis models', 'appendix issues list', 'appendix data dictionary']",0.0,False,no_toc_detected
0000 inventory,[],"['introduction', 'functional requirements', 'non functional requirements', 'references']",0,4,0,[],[],"['introduction', 'functional requirements', 'non functional requirements', 'references']",0.0,False,no_toc_detected
0000 inventory scanned,[],['references'],0,1,0,[],[],['references'],0.0,False,no_toc_detected
1995 gemini,[],"['constraints', 'introduction', 'general description']",0,3,0,[],[],"['constraints', 'introduction', 'general description']",0.0,False,no_toc_detected
1995 gemini scanned,[],"['introduction', 'general description', 'general description operational levels', 'general description user-level requirements users of the system', 'glossary abbreviations and acronyms']",0,5,0,[],[],"['introduction', 'general description', 'general description operational levels', 'general description user-level requirements users of the system', 'glossary abbreviations and acronyms']",0.0,False,no_toc_detected
1998 themas,"['appendix traceability matrix a-1', 'appendix dataflow diagrams b-1', 'appendix data dictionary c-1']","['appendix traceability matrix', 'appendix dataflow diagrams', 'appendix data dictionary']",3,3,0,[],"['appendix traceability matrix a-1', 'appendix dataflow diagrams b-1', 'appendix data dictionary c-1']","['appendix traceability matrix', 'appendix dataflow diagrams', 'appendix data dictionary']",0.0,True,weak
1998 themas scanned,['references'],"['introduction', '0 general description', 'appendix']",1,3,0,[],['references'],"['introduction', '0 general description', 'appendix']",0.0,True,weak
1999 tcs,[],"['appendix requirements traceability matrix 62', 'appendix', 'appendix requirements traceability matrix', 'appendix mae applicable capability criteria and characteristics', 'appendix cr-tuav applicable capability criteria and characteristics']",0,5,0,[],[],"['appendix requirements traceability matrix 62', 'appendix', 'appendix requirements traceability matrix', 'appendix mae applicable capability criteria and characteristics', 'appendix cr-tuav applicable capability criteria and characteristics']",0.0,False,no_toc_detected
