section_id,section_title,retrieved_examples,avg_similarity,max_similarity,min_similarity,high_relevance_count,medium_relevance_count,low_relevance_count,retrieval_quality
1,Introduction,10,0.1113,0.1525,0.0877,0,8,2,ACCEPTABLE_RETRIEVAL
2,General Description,10,0.1072,0.144,0.0845,0,8,2,ACCEPTABLE_RETRIEVAL
3,Functional Requirements,10,0.1401,0.1697,0.1035,0,10,0,ACCEPTABLE_RETRIEVAL
4,Non-Functional Requirements,10,0.1317,0.2423,0.0873,2,4,4,ACCEPTABLE_RETRIEVAL
5,Interface Requirements,10,0.1295,0.1393,0.1199,0,10,0,ACCEPTABLE_RETRIEVAL
6,Performance Requirements,10,0.1118,0.1617,0.0967,0,8,2,ACCEPTABLE_RETRIEVAL
7,Security Requirements,10,0.1143,0.1367,0.1017,0,10,0,ACCEPTABLE_RETRIEVAL
8,Acceptance Criteria,10,0.1092,0.1473,0.0865,0,7,3,ACCEPTABLE_RETRIEVAL
9,Risks and Assumptions,10,0.1089,0.1438,0.0926,0,8,2,ACCEPTABLE_RETRIEVAL
10,Conclusion,10,0.1102,0.1478,0.0868,0,7,3,ACCEPTABLE_RETRIEVAL
