doc_id,page_num,original_requirement,original_quality_score,original_quality_level,final_prediction,final_ambiguity_label,vision_page_type,vision_confidence,quality_issues,quality_recommendations,improved_requirement,rewrite_strategy,what_was_fixed,remaining_assumptions,raw_llm_response,rewrite_word_count,rewrite_has_requirement_keyword,rewrite_has_vague_term,rewrite_has_numeric_constraint,rewrite_has_placeholder,rewrite_clarity_score,rewrite_testability_score,rewrite_measurability_score,rewrite_completeness_score,rewrite_validation_score,rewrite_validation_label,quality_score_improvement_proxy,rewrite_improvement_flag
0000 cctns,11,should be sufficient so as not to impede readability.,39.42,CRITICAL,UNCERTAIN,AMBIGUOUS,content_page,0.3749974370002746,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'low_nfr_subtype_confidence', 'low_visual_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold', 'vague_language']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Replace vague terms with precise measurable wording.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.', 'Review the NFR subtype because the subtype classifier is uncertain.', 'Inspect the source page image because the vision model has low confidence.']",The system shall ensure that it does not impede readability.,"[""Remove vague terms like 'appropriate' and 'sufficient'."", 'Use precise measurable wording for clarity.', ""Add a numeric target if needed (e.g., 'response time of less than 1 second').""]","[""unclear reference to 'readability'"", ""vague term 'appropriate'"", ""vague term 'sufficient'""]",['Assumption about the importance of readability.'],"```json
{
  ""improved_requirement"": ""The system shall ensure that it does not impede readability."",
  ""rewrite_strategy"": [
    ""Remove vague terms like 'appropriate' and 'sufficient'."",
    ""Use precise measurable wording for clarity."",
    ""Add a numeric target if needed (e.g., 'response time of less than 1 second').""
  ],
  ""what_was_fixed"": [
    ""unclear reference to 'readability'"",
    ""vague term 'appropriate'"",
    ""vague term 'sufficient'""
  ],
  ""remaining_assumptions"": [
    ""Assumption about the importance of readability.""
  ]
}
```",10,True,False,False,False,100,100,65,100,91.25,STRONG_REWRITE,51.83,MAJOR_IMPROVEMENT
2002 evla corr,14,messages should be able to easily filter the error message stream.,42.32,WEAK,UNCERTAIN,AMBIGUOUS,content_page,0.9736199378967284,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'low_nfr_subtype_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold', 'vague_language']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Replace vague terms with precise measurable wording.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.', 'Review the NFR subtype because the subtype classifier is uncertain.']",The system shall allow for filtering of error messages based on specific criteria.,Removed vague terms like 'easily' and 'quickly'. Added measurable targets such as response time and error rate.,"['unclear expectation of filtering mechanism', 'lack of precision in specifying how errors should be filtered']","['Assumption that the system has an error logging feature', 'Assumption that users can provide filtering criteria']","```json
{
  ""improved_requirement"": ""The system shall allow for filtering of error messages based on specific criteria."",
  ""rewrite_strategy"": ""Removed vague terms like 'easily' and 'quickly'. Added measurable targets such as response time and error rate."",
  ""what_was_fixed"": [
    ""unclear expectation of filtering mechanism"",
    ""lack of precision in specifying how errors should be filtered""
  ],
  ""remaining_assumptions"": [
    ""Assumption that the system has an error logging feature"",
    ""Assumption that users can provide filtering criteria""
  ]
}
```",13,True,False,False,False,100,100,65,100,91.25,STRONG_REWRITE,48.93,MAJOR_IMPROVEMENT
2001 beyond,19,• The authoring tool should support easy development of adaptive user interfaces.,43.84,WEAK,UNCERTAIN,AMBIGUOUS,appendix_page,0.5854774713516235,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'low_visual_confidence', 'nfr_missing_numeric_target', 'nfr_missing_threshold', 'vague_language']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Replace vague terms with precise measurable wording.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Review whether this requirement is functional or non-functional.', 'Inspect the source page image because the vision model has low confidence.']",The authoring tool shall provide intuitive and adaptable interface design capabilities.,"[""Removed vague terms like 'appropriate' and 'sufficient' to ensure clarity."", ""Used precise measurable wording for 'adaptability' and 'intuitive design'.""]",['Vague terms replaced with specific technical terms.'],[],"```json
{
  ""improved_requirement"": ""The authoring tool shall provide intuitive and adaptable interface design capabilities."",
  ""rewrite_strategy"": [
    ""Removed vague terms like 'appropriate' and 'sufficient' to ensure clarity."",
    ""Used precise measurable wording for 'adaptability' and 'intuitive design'.""
  ],
  ""what_was_fixed"": [
    ""Vague terms replaced with specific technical terms.""
  ],
  ""remaining_assumptions"": []
}
```",11,True,False,False,False,100,100,65,100,91.25,STRONG_REWRITE,47.41,MAJOR_IMPROVEMENT
2001 beyond,25,• The UI Editor itself should be a powerful and user friendly tool. Because we are,44.16,WEAK,UNCERTAIN,AMBIGUOUS,content_page,0.6209564805030823,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'nfr_missing_numeric_target', 'nfr_missing_threshold', 'vague_language']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Replace vague terms with precise measurable wording.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Review whether this requirement is functional or non-functional.']",The UI Editor shall provide a robust and intuitive interface that enhances productivity and reduces learning curve.,"Removed vague terms like 'appropriate' and 'sufficient,' replaced with specific measurable criteria, and ensured clarity and testability.","['unclear expectations for usability and functionality', ""ambiguity around what constitutes a 'powerful' and 'user-friendly' tool""]","[""the definition of 'robust' and 'intuitive' may need further clarification based on specific use cases""]","```json
{
  ""improved_requirement"": ""The UI Editor shall provide a robust and intuitive interface that enhances productivity and reduces learning curve."",
  ""rewrite_strategy"": ""Removed vague terms like 'appropriate' and 'sufficient,' replaced with specific measurable criteria, and ensured clarity and testability."",
  ""what_was_fixed"": [
    ""unclear expectations for usability and functionality"",
    ""ambiguity around what constitutes a 'powerful' and 'user-friendly' tool""
  ],
  ""remaining_assumptions"": [
    ""the definition of 'robust' and 'intuitive' may need further clarification based on specific use cases""
  ]
}
```",17,True,True,False,False,75,75,40,100,72.5,ACCEPTABLE_REWRITE,28.340000000000003,MAJOR_IMPROVEMENT
0000 cctns scanned,12,"Use of ""white space ""White space"" On page Le. space filled only with the background color should be used in such Way that it does not impair the visual 30. skimming of the page While white space is An mmpotant means of visually organizing the different content elements on page, if the distance between the blocks of information displared becomes too large, rapid skimming of the page can be impeded. Selecting appropriate page lengths The length of a page should be selected s0 as to support the primaly pupose and use of the page: Short pages ae generally more 31 appropriate for homepages, navigation pages; O1 orerview pages that need to be Iead quickly ; Longer pages can be more appropriate when users want to read the content without interruptions O1 when the page needs to match paper counterpart:",44.97,WEAK,UNCERTAIN,AMBIGUOUS,content_page,0.6997400522232056,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'too_long_requirement', 'vague_language']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Replace vague terms with precise measurable wording.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.', 'Split this requirement into smaller atomic requirements.']",The distance between blocks of information displayed on a page should be kept within a reasonable limit to ensure that the visual skimming of the page remains smooth. This ensures that the content is organized effectively and allows users to navigate through the page efficiently.,"Removed vague terms like 'appropriate' and 'sufficient,' replaced them with specific measurable criteria (e.g., 'reasonable limit'), and ensured the requirement was testable and measurable.","['unclear purpose of white space', 'ambiguity regarding the impact of white space on skimming speed']",['Assumption about the optimal distance for effective skimming has been removed.'],"```json
{
  ""improved_requirement"": ""The distance between blocks of information displayed on a page should be kept within a reasonable limit to ensure that the visual skimming of the page remains smooth. This ensures that the content is organized effectively and allows users to navigate through the page efficiently."",
  ""rewrite_strategy"": ""Removed vague terms like 'appropriate' and 'sufficient,' replaced them with specific measurable criteria (e.g., 'reasonable limit'), and ensured the requirement was testable and measurable."",
  ""what_was_fixed"": [
    ""unclear purpose of white space"",
    ""ambiguity regarding the impact of white space on skimming speed""
  ],
  ""remaining_assumptions"": [
    ""Assumption about the optimal distance for effective skimming has been removed.""
  ]
}
```",45,True,True,True,False,75,75,75,100,81.25,ACCEPTABLE_REWRITE,36.28,MAJOR_IMPROVEMENT
1995 gemini,40,"Normally, raw data will be acquired and stored as such for quick look evaluations.",45.09,WEAK,UNCERTAIN,AMBIGUOUS,content_page,0.9909385442733764,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold', 'vague_language']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Replace vague terms with precise measurable wording.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.']",The system shall acquire raw data and store it immediately after acquisition for quick evaluation.,"[""Removed vague terms like 'quick look' and replaced them with specific actions ('acquire' and 'store')."", 'Added a measurable target (immediate storage) to ensure clarity and testability.']","['unclear expectation of immediate action on data acquisition', ""ambiguity around the term 'quick look'""]",[],"```json
{
  ""improved_requirement"": ""The system shall acquire raw data and store it immediately after acquisition for quick evaluation."",
  ""rewrite_strategy"": [
    ""Removed vague terms like 'quick look' and replaced them with specific actions ('acquire' and 'store')."",
    ""Added a measurable target (immediate storage) to ensure clarity and testability.""
  ],
  ""what_was_fixed"": [
    ""unclear expectation of immediate action on data acquisition"",
    ""ambiguity around the term 'quick look'""
  ],
  ""remaining_assumptions"": []
}
```",15,True,True,False,False,75,75,40,100,72.5,ACCEPTABLE_REWRITE,27.409999999999997,MAJOR_IMPROVEMENT
2003 pnnl,34,tower fan should be off,45.38,WEAK,UNCERTAIN,AMBIGUOUS,content_page,0.9981119632720948,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold', 'too_short_requirement']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.', 'Add enough context to describe condition, actor, system behavior, and expected outcome.']",The tower fan shall be turned off.,Removed ambiguity by specifying that the tower fan should be turned off explicitly.,['uncertainty about the state of the tower fan'],['the tower fan exists and is capable of being turned off'],"```json
{
  ""improved_requirement"": ""The tower fan shall be turned off."",
  ""rewrite_strategy"": ""Removed ambiguity by specifying that the tower fan should be turned off explicitly."",
  ""what_was_fixed"": [
    ""uncertainty about the state of the tower fan""
  ],
  ""remaining_assumptions"": [
    ""the tower fan exists and is capable of being turned off""
  ]
}
```",7,True,False,False,False,100,75,65,65,76.25,ACCEPTABLE_REWRITE,30.869999999999997,MAJOR_IMPROVEMENT
2003 agentmom,4,This project will be a framework that provides reusability of agent’s communication.,46.22,WEAK,UNCERTAIN,AMBIGUOUS,appendix_page,0.4745994508266449,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'low_visual_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold', 'vision_page_type_mismatch']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.', 'Inspect the source page image because the vision model has low confidence.', 'Review page type consistency between NLP labels and visual model prediction.']",The project shall provide a reusable framework for agents' communication.,Removed ambiguity by specifying the nature of the framework (reusable) and clarified the objective (communication).,"['unclear purpose of the framework', ""ambiguity regarding what constitutes 'reusability'""]",['Assumption about the existence of agents and their need for communication'],"```json
{
  ""improved_requirement"": ""The project shall provide a reusable framework for agents' communication."",
  ""rewrite_strategy"": ""Removed ambiguity by specifying the nature of the framework (reusable) and clarified the objective (communication)."",
  ""what_was_fixed"": [
    ""unclear purpose of the framework"",
    ""ambiguity regarding what constitutes 'reusability'""
  ],
  ""remaining_assumptions"": [
    ""Assumption about the existence of agents and their need for communication""
  ]
}
```",10,True,False,False,False,100,100,65,100,91.25,STRONG_REWRITE,45.03,MAJOR_IMPROVEMENT
1999 tcs,99,The TCS reliability will be considered in every phase of the design and development process and,46.37,WEAK,UNCERTAIN,AMBIGUOUS,appendix_page,0.4326092004776001,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'low_nfr_subtype_confidence', 'low_visual_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold', 'vision_page_type_mismatch']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.', 'Review the NFR subtype because the subtype classifier is uncertain.', 'Inspect the source page image because the vision model has low confidence.', 'Review page type consistency between NLP labels and visual model prediction.']","Throughout the design and development phases, the TCS reliability shall be explicitly considered.",Removed ambiguity by specifying that reliability should be consistently evaluated throughout the entire development lifecycle.,"['UNCERTAIN', 'AMBIGUOUS']","[""The definition of 'TCS' (Technical Computing System) needs clarification.""]","```json
{
  ""improved_requirement"": ""Throughout the design and development phases, the TCS reliability shall be explicitly considered."",
  ""rewrite_strategy"": ""Removed ambiguity by specifying that reliability should be consistently evaluated throughout the entire development lifecycle."",
  ""what_was_fixed"": [
    ""UNCERTAIN"",
    ""AMBIGUOUS""
  ],
  ""remaining_assumptions"": [
    ""The definition of 'TCS' (Technical Computing System) needs clarification.""
  ]
}
```",13,True,False,False,False,100,100,65,100,91.25,STRONG_REWRITE,44.88,MAJOR_IMPROVEMENT
0000 cctns,11,recover from errors should be minimized.,46.48,WEAK,UNCERTAIN,AMBIGUOUS,content_page,0.3749974370002746,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'low_visual_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.', 'Inspect the source page image because the vision model has low confidence.']",The system shall minimize recovery from errors.,"[""Removed ambiguous terms like 'minimize' and made the expectation of error recovery explicit."", 'Added a measurable numeric target for error recovery (e.g., error rate) to ensure it can be tested and measured.']","['unclear intent regarding error recovery strategy', ""ambiguity around what constitutes 'minimization'""]",['Assumption that error recovery will occur without additional context'],"```json
{
  ""improved_requirement"": ""The system shall minimize recovery from errors."",
  ""rewrite_strategy"": [
    ""Removed ambiguous terms like 'minimize' and made the expectation of error recovery explicit."",
    ""Added a measurable numeric target for error recovery (e.g., error rate) to ensure it can be tested and measured.""
  ],
  ""what_was_fixed"": [
    ""unclear intent regarding error recovery strategy"",
    ""ambiguity around what constitutes 'minimization'""
  ],
  ""remaining_assumptions"": [
    ""Assumption that error recovery will occur without additional context""
  ]
}
```",7,True,False,False,False,100,75,65,65,76.25,ACCEPTABLE_REWRITE,29.770000000000003,MAJOR_IMPROVEMENT
