sample_id,doc_id,page_num,image_path,true_page_type,resnet18_prediction,resnet18_confidence,is_correct,gradcam_path,prob_appendix_page,prob_content_page,prob_cover_page,prob_low_text_page,prob_toc_page
0,2004 grid bgc,16,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/2004 - grid bgc/2004 - grid bgc-16.png,appendix_page,appendix_page,0.8511711359024048,True,/kaggle/working/v6_gradcam_outputs/gradcam_00_appendix_page_pred_appendix_page.png,0.85117114,0.14729379,2.1776836e-05,6.5965655e-06,0.0015067051
1,0000 inventory,31,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/0000 - inventory/0000 - inventory-31.png,appendix_page,appendix_page,0.8363324999809265,True,/kaggle/working/v6_gradcam_outputs/gradcam_01_appendix_page_pred_appendix_page.png,0.8363325,0.16265672,9.720417e-05,0.00063123874,0.0002824332
2,2010 split merge,19,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/2010 - split merge/2010 - split merge-19.png,content_page,content_page,0.9822189807891846,True,/kaggle/working/v6_gradcam_outputs/gradcam_02_content_page_pred_content_page.png,7.8958656e-05,0.982219,4.1436604e-10,4.0298334e-09,0.017702024
3,1999 tcs scanned,67,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/1999 - tcs - scanned/1999 - tcs - scanned-067.png,content_page,content_page,0.9823952317237854,True,/kaggle/working/v6_gradcam_outputs/gradcam_03_content_page_pred_content_page.png,0.015646102,0.98239523,0.00021042737,0.00045339318,0.0012948856
4,2009 library,1,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/2009 - library/2009 - library-01.png,cover_page,cover_page,0.7300476431846619,True,/kaggle/working/v6_gradcam_outputs/gradcam_04_cover_page_pred_cover_page.png,0.02020343,0.052150164,0.73004764,0.19729906,0.00029969565
5,2007 get real 0.2 scanned,1,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/2007 - get real 0.2 - scanned/2007 - get real 0.2 - scanned-01.png,cover_page,low_text_page,0.7113909125328064,False,/kaggle/working/v6_gradcam_outputs/gradcam_05_cover_page_pred_low_text_page.png,0.013336041,0.02315413,0.25160554,0.7113909,0.00051342894
6,1999 tcs,72,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/1999 - tcs/1999 - tcs-072.png,low_text_page,low_text_page,0.998233437538147,True,/kaggle/working/v6_gradcam_outputs/gradcam_06_low_text_page_pred_low_text_page.png,0.00084211124,0.0008997785,6.764495e-06,0.99823344,1.782491e-05
7,1999 tcs scanned,109,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/1999 - tcs - scanned/1999 - tcs - scanned-109.png,low_text_page,low_text_page,0.9556600451469421,True,/kaggle/working/v6_gradcam_outputs/gradcam_07_low_text_page_pred_low_text_page.png,0.031873014,0.008196546,0.00045177777,0.95566005,0.0038186593
8,0000 inventory,2,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/0000 - inventory/0000 - inventory-02.png,toc_page,toc_page,0.8406693339347839,True,/kaggle/working/v6_gradcam_outputs/gradcam_08_toc_page_pred_toc_page.png,0.106143035,0.05279233,0.00019092958,0.00020440083,0.84066933
9,2009 library scanned,2,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/2009 - library - scanned/2009 - library - scanned-02.png,toc_page,appendix_page,0.4418207108974457,False,/kaggle/working/v6_gradcam_outputs/gradcam_09_toc_page_pred_appendix_page.png,0.4418207,0.15655552,6.412071e-06,0.00033142508,0.4012859
10,2004 grid bgc,5,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/2004 - grid bgc/2004 - grid bgc-05.png,content_page,appendix_page,0.4585596024990082,False,/kaggle/working/v6_gradcam_outputs/gradcam_10_content_page_pred_appendix_page.png,0.4585596,0.2312664,0.00010321005,0.0014895352,0.30858117
11,2007 get real 0.2,1,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/2007 - get real 0.2/2007 - get real 0.2-01.png,cover_page,low_text_page,0.7496370077133179,False,/kaggle/working/v6_gradcam_outputs/gradcam_11_cover_page_pred_low_text_page.png,0.01076673,0.024753822,0.21453734,0.749637,0.0003051487
12,1999 tcs,127,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/1999 - tcs/1999 - tcs-127.png,appendix_page,content_page,0.9155489206314087,False,/kaggle/working/v6_gradcam_outputs/gradcam_12_appendix_page_pred_content_page.png,0.07687947,0.9155489,0.0011628236,0.00013247183,0.0062762755
13,1999 tcs scanned,127,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/1999 - tcs - scanned/1999 - tcs - scanned-127.png,appendix_page,content_page,0.9675220847129822,False,/kaggle/working/v6_gradcam_outputs/gradcam_13_appendix_page_pred_content_page.png,0.029973477,0.9675221,0.0018929408,6.2656334e-05,0.00054890016
14,2004 rlcs,64,/kaggle/input/datasets/cyrinemejrii/page-image/page_images/2004 - rlcs/2004 - rlcs-64.png,content_page,appendix_page,0.6723645329475403,False,/kaggle/working/v6_gradcam_outputs/gradcam_14_content_page_pred_appendix_page.png,0.67236453,0.322384,6.0817547e-05,0.005135383,5.526791e-05
