doc_id,page_num,page_type,section_label,block_id,block_text,requirement_type_candidate,requirement_strength,requirement_confidence,deep_prediction,deep_confidence,deep_prediction_label,prediction_status,final_prediction,nfr_subtype_pred,nfr_subtype_confidence,nfr_subtype_model_name,ambiguity_pred_id,ambiguity_prediction,ambiguity_confidence,clear_probability,ambiguous_probability,ambiguity_model_name,ambiguity_status,final_ambiguity_label,true_page_type,vision_page_type,vision_confidence,vision_quality_flag,vision_prob_appendix_page,vision_prob_content_page,vision_prob_cover_page,vision_prob_low_text_page,vision_prob_toc_page,avg_vision_confidence,document_vision_quality_flag,low_confidence_pages,vision_accuracy_proxy,quality_word_count,has_mandatory_modal,has_soft_modal,has_numeric_constraint,has_threshold_language,has_vague_terms,has_actor_or_system,is_fr,is_nfr,is_prediction_uncertain,is_deep_low_confidence,is_ambiguous,is_ambiguity_uncertain,ambiguous_probability_signal,ambiguity_confidence_signal,is_nfr_subtype_low_confidence,missing_section_context,low_requirement_confidence,vision_page_mismatch,low_vision_confidence,medium_vision_confidence,high_vision_confidence,vision_says_non_content_page,true_page_is_content_or_appendix,weak_document_visual_structure,moderate_document_visual_structure,strong_document_visual_structure,avg_vision_confidence_signal,vision_confidence_signal,silver_quality_score,silver_quality_label,quality_label_id,deep_quality_pred_id,deep_quality_label,deep_quality_confidence,low_quality_probability,medium_quality_probability,high_quality_probability,quality_model_name,clarity_score,testability_score,measurability_score,classification_reliability_score,ambiguity_safety_score,visual_context_score,completeness_score,deep_quality_numeric_score,requirement_quality_score,requirement_quality_level,quality_issues,quality_recommendations,num_quality_issues,section_label_clean,requirement_text_norm,original_requirement,improved_requirement,rewrite_strategy,what_was_fixed,remaining_assumptions,rewrite_validation_score,rewrite_validation_label,rewrite_improvement_flag,quality_score_improvement_proxy,has_llm_rewrite,final_action_priority,priority_rank
0000 cctns,4,content_page,functional_requirements,9,"following investigation, police shall take the complaint forward. The Registration module",FR,strong,1.0,0,0.9923212,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,0,CLEAR,0.9795054,0.9795054,0.020494604,roberta-base,HIGH_CONFIDENCE,CLEAR,content_page,appendix_page,0.6177628040313721,medium_confidence_visual_prediction,0.6177628,0.37376916,1.4452174e-06,1.1217057e-06,0.0084654,0.7431,moderate_visual_structure,4,0.737,11,True,False,False,False,False,True,True,False,False,False,False,False,0.020494604,0.9795054,False,False,False,True,False,True,False,False,True,False,True,False,0.7431,0.6177628040313721,90.75,HIGH_QUALITY,2,2,HIGH_QUALITY,0.99260134,0.0020507674,0.005347831,0.99260134,roberta-base,100.0,100.0,100.0,99.65,98.57,53.68,100.0,89.71,94.6,EXCELLENT,['vision_page_type_mismatch'],['Review page type consistency between NLP labels and visual model prediction.'],1,functional_requirements,"following investigation, police shall take the complaint forward. the registration module",,,,,,,,,,False,ACCEPTABLE,7
0000 cctns,6,content_page,non_functional_requirements,9,The solution should provide detailed context-sensitive help material for all the,NFR,medium,0.9,1,0.50911397,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,security,0.8841296,roberta-base,1,AMBIGUOUS,0.83033764,0.16966233,0.83033764,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,content_page,content_page,0.6644052267074585,medium_confidence_visual_prediction,0.3219709,0.6644052,0.0013361783,0.008589703,0.0036980952,0.7431,moderate_visual_structure,4,0.737,11,False,True,False,False,False,False,False,True,True,True,True,False,0.83033764,0.83033764,False,False,False,False,False,True,False,False,True,False,True,False,0.7431,0.6644052267074585,14.04,LOW_QUALITY,0,0,LOW_QUALITY,0.93848777,0.93848777,0.05924101,0.0022712399,roberta-base,65.0,60.0,40.0,32.91,21.88,70.08,88.0,27.22,49.9,WEAK,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'fr_nfr_classification_uncertain', 'low_fr_nfr_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review whether this requirement is functional or non-functional.']",7,non_functional_requirements,the solution should provide detailed context-sensitive help material for all the,The solution should provide detailed context-sensitive help material for all the,"The solution shall provide detailed, context-sensitive help material for all users.","Removed ambiguity by specifying that the help material is for all users, making it more concrete and testable.","['uncertainty about who needs the help material', 'ambiguity regarding the scope of the help material']","['the need for help material exists for all users', 'users can access the help material when needed']",100.0,STRONG_REWRITE,MAJOR_IMPROVEMENT,50.1,True,REWRITE_REQUIRED,1
0000 cctns,6,content_page,non_functional_requirements,12,The help should be accessible to the users both in the offline and online mode,NFR,medium,0.9,1,0.77616113,NFR,HIGH_CONFIDENCE,NFR,availability,0.34372616,roberta-base,1,AMBIGUOUS,0.98849505,0.0115049435,0.98849505,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,content_page,content_page,0.6644052267074585,medium_confidence_visual_prediction,0.3219709,0.6644052,0.0013361783,0.008589703,0.0036980952,0.7431,moderate_visual_structure,4,0.737,15,False,True,False,False,False,False,False,True,False,False,True,False,0.98849505,0.98849505,True,False,False,False,False,True,False,False,True,False,True,False,0.7431,0.6644052267074585,29.14,LOW_QUALITY,0,0,LOW_QUALITY,0.96411437,0.96411437,0.034263432,0.0016221463,roberta-base,65.0,60.0,40.0,77.93,10.81,70.08,88.0,26.3,54.61,WEAK,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'low_nfr_subtype_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.', 'Specify the responsible actor or system component.', 'Review the NFR subtype because the subtype classifier is uncertain.']",6,non_functional_requirements,the help should be accessible to the users both in the offline and online mode,The help should be accessible to the users both in the offline and online mode,The help shall be available through both offline and online modes.,Removed ambiguity by specifying that the help must be accessible in both offline and online environments.,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'low_nfr_subtype_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target', 'nfr_missing_threshold']",['The help will be accessible through both offline and online modes.'],91.25,STRONG_REWRITE,MAJOR_IMPROVEMENT,36.64,True,REWRITE_REQUIRED,1
0000 cctns,6,content_page,non_functional_requirements,15,The solution should provide an interface for the user to log any defects or,NFR,medium,0.9,1,0.9030167,NFR,HIGH_CONFIDENCE,NFR,security,0.9905766,roberta-base,0,CLEAR,0.9571564,0.9571564,0.042843543,roberta-base,HIGH_CONFIDENCE,CLEAR,content_page,content_page,0.6644052267074585,medium_confidence_visual_prediction,0.3219709,0.6644052,0.0013361783,0.008589703,0.0036980952,0.7431,moderate_visual_structure,4,0.737,14,False,True,False,False,False,True,False,True,False,False,False,False,0.042843543,0.9571564,False,False,False,False,False,True,False,False,True,False,True,False,0.7431,0.6644052267074585,82.49,HIGH_QUALITY,2,2,HIGH_QUALITY,0.9785411,0.0023212372,0.019137722,0.9785411,roberta-base,100.0,100.0,40.0,95.64,97.0,70.08,100.0,89.27,85.84,EXCELLENT,"['nfr_missing_numeric_target', 'nfr_missing_threshold']","['Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.']",2,non_functional_requirements,the solution should provide an interface for the user to log any defects or,,,,,,,,,,False,ACCEPTABLE,7
0000 cctns,6,content_page,non_functional_requirements,18,"The solution should send alerts (e.g., email, SMS) to the user if the user chooses",NFR,medium,0.9,0,0.95754945,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,0,CLEAR,0.9488196,0.9488196,0.051180426,roberta-base,HIGH_CONFIDENCE,CLEAR,content_page,content_page,0.6644052267074585,medium_confidence_visual_prediction,0.3219709,0.6644052,0.0013361783,0.008589703,0.0036980952,0.7431,moderate_visual_structure,4,0.737,15,False,True,False,False,False,True,True,False,False,False,False,False,0.051180426,0.9488196,False,False,False,False,False,True,False,False,True,False,True,False,0.7431,0.6644052267074585,96.39,HIGH_QUALITY,2,2,HIGH_QUALITY,0.9926755,0.0016733962,0.005651139,0.9926755,roberta-base,100.0,100.0,100.0,98.09,96.42,70.08,100.0,89.72,95.73,EXCELLENT,[],['No major quality issue detected.'],0,non_functional_requirements,"the solution should send alerts (e.g., email, sms) to the user if the user chooses",,,,,,,,,,False,ACCEPTABLE,7
0000 cctns,6,content_page,non_functional_requirements,21,The solution should enable the user to track the submitted defect or,NFR,medium,0.9,0,0.9423912,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,0,CLEAR,0.71930057,0.71930057,0.28069943,roberta-base,LOW_CONFIDENCE_REVIEW,UNCERTAIN,content_page,content_page,0.6644052267074585,medium_confidence_visual_prediction,0.3219709,0.6644052,0.0013361783,0.008589703,0.0036980952,0.7431,moderate_visual_structure,4,0.737,12,False,True,False,False,False,True,True,False,False,False,False,True,0.28069943,0.71930057,False,False,False,False,False,True,False,False,True,False,True,False,0.7431,0.6644052267074585,81.63,HIGH_QUALITY,2,2,HIGH_QUALITY,0.9915543,0.001597238,0.0068484647,0.9915543,roberta-base,85.0,100.0,100.0,97.41,70.35,70.08,100.0,89.69,89.28,EXCELLENT,['ambiguity_uncertain_review'],['No major quality issue detected.'],1,non_functional_requirements,the solution should enable the user to track the submitted defect or,,,,,,,,,,False,ACCEPTABLE,7
0000 cctns,6,content_page,non_functional_requirements,24,The solution should enable the help-desk user to view the reports on the,NFR,medium,0.9,0,0.9130398,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,0,CLEAR,0.78251606,0.78251606,0.21748391,roberta-base,HIGH_CONFIDENCE,CLEAR,content_page,content_page,0.6644052267074585,medium_confidence_visual_prediction,0.3219709,0.6644052,0.0013361783,0.008589703,0.0036980952,0.7431,moderate_visual_structure,4,0.737,13,False,True,False,False,False,True,True,False,False,False,False,False,0.21748391,0.78251606,False,False,False,False,False,True,False,False,True,False,True,False,0.7431,0.6644052267074585,94.39,HIGH_QUALITY,2,1,MEDIUM_QUALITY,0.83588594,0.075504154,0.83588594,0.088609815,roberta-base,100.0,100.0,100.0,96.09,84.78,70.08,100.0,60.02,92.33,EXCELLENT,[],['No major quality issue detected.'],0,non_functional_requirements,the solution should enable the help-desk user to view the reports on the,,,,,,,,,,False,ACCEPTABLE,7
0000 cctns,6,content_page,non_functional_requirements,28,The support solution should be accessible to the users both from within the,NFR,medium,0.9,1,0.7943713,NFR,HIGH_CONFIDENCE,NFR,availability,0.40263972,roberta-base,1,AMBIGUOUS,0.9899492,0.010050755,0.9899492,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,content_page,content_page,0.6644052267074585,medium_confidence_visual_prediction,0.3219709,0.6644052,0.0013361783,0.008589703,0.0036980952,0.7431,moderate_visual_structure,4,0.737,13,False,True,False,True,False,False,False,True,False,False,True,False,0.9899492,0.9899492,True,False,False,False,False,True,False,False,True,False,True,False,0.7431,0.6644052267074585,43.12,LOW_QUALITY,0,0,LOW_QUALITY,0.95944893,0.95944893,0.03865616,0.0018948099,roberta-base,65.0,60.0,65.0,78.75,10.7,70.08,88.0,26.48,58.72,REVIEW_NEEDED,"['ambiguous_requirement', 'deep_model_low_quality_risk', 'low_nfr_subtype_confidence', 'missing_actor_or_system_context', 'nfr_missing_numeric_target']","['Rewrite the requirement to remove ambiguity and make the expected behavior explicit.', 'Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Specify the responsible actor or system component.', 'Review the NFR subtype because the subtype classifier is uncertain.']",5,non_functional_requirements,the support solution should be accessible to the users both from within the,The support solution should be accessible to the users both from within the,The support solution shall be accessible to users via a dedicated web portal.,Removed ambiguity by specifying the method of access (web portal) and made it testable with a URL.,"['Ambiguous', 'Deep model low quality risk']","['Accessible via a dedicated web portal', 'Measurable through URL verification']",100.0,STRONG_REWRITE,MAJOR_IMPROVEMENT,41.28,True,MANUAL_REVIEW,3
0000 cctns,6,content_page,non_functional_requirements,35,System must keep an unalterable audit trail capable of automatically capturing,NFR,strong,1.0,1,0.95041746,NFR,HIGH_CONFIDENCE,NFR,security,0.99132067,roberta-base,0,CLEAR,0.9808457,0.9808457,0.019154364,roberta-base,HIGH_CONFIDENCE,CLEAR,content_page,content_page,0.6644052267074585,medium_confidence_visual_prediction,0.3219709,0.6644052,0.0013361783,0.008589703,0.0036980952,0.7431,moderate_visual_structure,4,0.737,11,True,False,False,False,False,True,False,True,False,False,False,False,0.019154364,0.9808457,False,False,False,False,False,True,False,False,True,False,True,False,0.7431,0.6644052267074585,82.77,HIGH_QUALITY,2,1,MEDIUM_QUALITY,0.555842,0.026936049,0.555842,0.41722202,roberta-base,100.0,100.0,40.0,97.77,98.66,70.08,100.0,71.57,85.49,EXCELLENT,"['nfr_missing_numeric_target', 'nfr_missing_threshold']","['Add a measurable numeric target such as response time, availability percentage, throughput, capacity, or error rate.', 'Add a threshold expression such as within, at least, at most, maximum, or minimum.']",2,non_functional_requirements,system must keep an unalterable audit trail capable of automatically capturing,,,,,,,,,,False,MODEL_UNCERTAINTY_REVIEW,4
0000 cctns,8,content_page,non_functional_requirements,5,The System must allow a user to be a member of more than one group.,NFR,strong,1.0,0,0.583352,FR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,not_applicable,0.0,roberta-base,0,CLEAR,0.98659295,0.98659295,0.013407084,roberta-base,HIGH_CONFIDENCE,CLEAR,content_page,content_page,0.921358585357666,high_confidence_visual_prediction,0.0387275,0.9213586,1.4544755e-06,7.3067204e-06,0.039905082,0.7431,moderate_visual_structure,4,0.737,15,True,False,False,False,False,True,True,False,True,True,False,False,0.013407084,0.98659295,False,False,False,False,False,False,True,False,True,False,True,False,0.7431,0.921358585357666,71.84,MEDIUM_QUALITY,1,2,HIGH_QUALITY,0.9026102,0.008128195,0.08926163,0.9026102,roberta-base,100.0,100.0,100.0,36.25,99.06,85.79,100.0,86.79,88.86,EXCELLENT,"['fr_nfr_classification_uncertain', 'low_fr_nfr_confidence']",['Review whether this requirement is functional or non-functional.'],2,non_functional_requirements,the system must allow a user to be a member of more than one group.,,,,,,,,,,False,ACCEPTABLE,7
