doc_id,page_num,page_type,section_label,block_id,block_text,requirement_type_candidate,requirement_strength,requirement_confidence,deep_prediction,deep_confidence,deep_prediction_label,prediction_status,final_prediction,nfr_subtype_pred_id,nfr_subtype_confidence,nfr_subtype_pred,nfr_lime_predicted_subtype,nfr_lime_confidence,nfr_lime_top_tokens,nfr_lime_token_weights,nfr_lime_explanation,nfr_xai_method
0000 gamma j,22,content_page,performance_requirements,33,The system should be able to run under debug mode.,NFR,medium,0.9,1,0.9224492,NFR,HIGH_CONFIDENCE,NFR,7,0.5375716,security,security,0.5376,"[np.str_('debug'), np.str_('able'), np.str_('run'), np.str_('to'), np.str_('system'), np.str_('under'), np.str_('should'), np.str_('The')]","[0.47643, -0.24135, -0.2193, -0.10557, -0.10129, -0.09616, -0.0575, 0.05074]","LIME explains the RoBERTa NFR subtype prediction 'security' with confidence 0.538. The most influential words according to local perturbations are: debug, able, run, to, system, under, should, The.",LIME_TextExplainer_RoBERTa_NFR_Subtype
0000 cctns,8,content_page,non_functional_requirements,35,documents or data should also need to be stored in the audit trail to ensure legal,NFR,medium,0.9,1,0.91228,NFR,HIGH_CONFIDENCE,NFR,7,0.9916863,security,security,0.9917,"[np.str_('audit'), np.str_('documents'), np.str_('legal'), np.str_('ensure'), np.str_('stored'), np.str_('be'), np.str_('or'), np.str_('should')]","[0.00794, 0.00748, 0.00732, 0.00583, 0.00531, 0.00375, 0.00286, 0.0022]","LIME explains the RoBERTa NFR subtype prediction 'security' with confidence 0.992. The most influential words according to local perturbations are: audit, documents, legal, ensure, stored, be, or, should.",LIME_TextExplainer_RoBERTa_NFR_Subtype
2002 evla back,16,content_page,functional_requirements,10,"Monitor Compute Errors – The BE shall trap, flag and repair inf’s, NaN’s,",FR,strong,1.0,1,0.63848895,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,7,0.94154745,security,security,0.9415,"[np.str_('Errors'), np.str_('Monitor'), np.str_('shall'), np.str_('Compute'), np.str_('flag'), np.str_('repair'), np.str_('NaN'), np.str_('s')]","[0.15636, 0.12962, -0.10851, -0.08248, 0.0668, -0.06231, 0.05562, 0.04846]","LIME explains the RoBERTa NFR subtype prediction 'security' with confidence 0.942. The most influential words according to local perturbations are: Errors, Monitor, shall, Compute, flag, repair, NaN, s.",LIME_TextExplainer_RoBERTa_NFR_Subtype
2002 evla corr,15,content_page,performance_requirements,34,source code available shall come with a complete diagnostic package and,NFR,strong,1.0,1,0.8263353,NFR,HIGH_CONFIDENCE,NFR,0,0.44649723,availability,availability,0.4465,"[np.str_('available'), np.str_('shall'), np.str_('code'), np.str_('diagnostic'), np.str_('come'), np.str_('with'), np.str_('complete'), np.str_('a')]","[0.26861, 0.11924, 0.07404, -0.05954, 0.0471, -0.04172, 0.0351, -0.01518]","LIME explains the RoBERTa NFR subtype prediction 'availability' with confidence 0.446. The most influential words according to local perturbations are: available, shall, code, diagnostic, come, with, complete, a.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1995 gemini,89,content_page,design_constraints,8,and since 25% of the beamtime must be made available to independent investigators it,NFR,strong,1.0,1,0.5662062,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,0,0.5434707,availability,availability,0.5435,"[np.str_('available'), np.str_('beamtime'), np.str_('independent'), np.str_('investigators'), np.str_('the'), np.str_('25'), np.str_('must'), np.str_('to')]","[0.28914, 0.22288, -0.18057, -0.1628, 0.06328, 0.05973, 0.057, -0.03879]","LIME explains the RoBERTa NFR subtype prediction 'availability' with confidence 0.543. The most influential words according to local perturbations are: available, beamtime, independent, investigators, the, 25, must, to.",LIME_TextExplainer_RoBERTa_NFR_Subtype
2003 tachonet,52,content_page,introduction,30,"system performance), availability (high availability must be guaranteed through",other,strong,0.6,1,0.9456895,NFR,HIGH_CONFIDENCE,NFR,0,0.64046556,availability,availability,0.6405,"[np.str_('availability'), np.str_('guaranteed'), np.str_('high'), np.str_('system'), np.str_('performance'), np.str_('be'), np.str_('through'), np.str_('must')]","[0.38134, 0.06354, 0.04259, 0.03423, 0.02829, 0.01058, 0.00256, -0.0016]","LIME explains the RoBERTa NFR subtype prediction 'availability' with confidence 0.640. The most influential words according to local perturbations are: availability, guaranteed, high, system, performance, be, through, must.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1999 tcs,55,content_page,appendices,18,The TCS shall have sufficient throughput to support the processing requirements of the selected data link.,other,strong,0.6,1,0.8972018,NFR,HIGH_CONFIDENCE,NFR,3,0.4245847,performance,performance,0.4246,"[np.str_('throughput'), np.str_('processing'), np.str_('data'), np.str_('to'), np.str_('shall'), np.str_('TCS'), np.str_('link'), np.str_('of')]","[0.21371, 0.09397, 0.05292, 0.04594, 0.04101, 0.02576, 0.02565, 0.02535]","LIME explains the RoBERTa NFR subtype prediction 'performance' with confidence 0.425. The most influential words according to local perturbations are: throughput, processing, data, to, shall, TCS, link, of.",LIME_TextExplainer_RoBERTa_NFR_Subtype
2001 ctc network,30,content_page,design_constraints,34,The C2C shall be able to operate in normal mode. In this,NFR,strong,1.0,1,0.5347477,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,3,0.24734384,performance,performance,0.2473,"[np.str_('normal'), np.str_('C2C'), np.str_('shall'), np.str_('in'), np.str_('be'), np.str_('In'), np.str_('to'), np.str_('The')]","[0.08752, 0.08294, 0.0763, 0.06642, 0.02318, 0.02191, 0.01488, -0.01186]","LIME explains the RoBERTa NFR subtype prediction 'performance' with confidence 0.247. The most influential words according to local perturbations are: normal, C2C, shall, in, be, In, to, The.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1995 gemini,39,content_page,design_constraints,15,Delay times for the exchange of control information must stay within precise time limits,NFR,strong,1.0,1,0.9365818,NFR,HIGH_CONFIDENCE,NFR,3,0.42120805,performance,performance,0.4212,"[np.str_('Delay'), np.str_('precise'), np.str_('limits'), np.str_('within'), np.str_('time'), np.str_('times'), np.str_('control'), np.str_('for')]","[0.18407, 0.12996, -0.08889, 0.08837, 0.08831, 0.08813, -0.0786, 0.06628]","LIME explains the RoBERTa NFR subtype prediction 'performance' with confidence 0.421. The most influential words according to local perturbations are: Delay, precise, limits, within, time, times, control, for.",LIME_TextExplainer_RoBERTa_NFR_Subtype
1999 tcs,64,content_page,appendices,26,The TCS HCI shall provide coarse and fine payload control capabilities directly on the payload screen.,other,strong,0.6,1,0.6550588,NFR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,8,0.753996,usability,usability,0.754,"[np.str_('shall'), np.str_('screen'), np.str_('fine'), np.str_('coarse'), np.str_('payload'), np.str_('the'), np.str_('on'), np.str_('HCI')]","[0.26673, 0.24785, 0.19256, 0.17861, -0.11019, -0.0577, 0.05357, -0.0345]","LIME explains the RoBERTa NFR subtype prediction 'usability' with confidence 0.754. The most influential words according to local perturbations are: shall, screen, fine, coarse, payload, the, on, HCI.",LIME_TextExplainer_RoBERTa_NFR_Subtype
