doc_id,page_num,page_type,section_label,block_id,block_text,requirement_type_candidate,requirement_strength,requirement_confidence,deep_prediction,deep_confidence,deep_prediction_label,prediction_status,final_prediction,nfr_subtype_pred,nfr_subtype_confidence,nfr_subtype_model_name,ambiguity_pred_id,ambiguity_prediction,ambiguity_confidence,clear_probability,ambiguous_probability,ambiguity_model_name,ambiguity_status,final_ambiguity_label,ambiguity_lime_predicted_label,ambiguity_lime_confidence,ambiguity_lime_top_tokens,ambiguity_lime_token_weights,ambiguity_lime_explanation,ambiguity_xai_method
2003 pnnl,149,content_page,appendices,9,"Set Boiler_Shutoff_OK/Not = ""OK. The boiler is on as it should be. Shutoff is not",other,medium,0.5,0,0.9883454,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.91405946,0.08594057,0.91405946,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,AMBIGUOUS,0.9141,"[np.str_('should'), np.str_('be'), np.str_('as'), np.str_('it'), np.str_('OK'), np.str_('is'), np.str_('on'), np.str_('Set')]","[0.36554, 0.14787, 0.13432, 0.11765, 0.07356, 0.07235, 0.06024, -0.02869]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.914. The most influential words according to local perturbations are: should, be, as, it, OK, is, on, Set.",LIME_TextExplainer_RoBERTa_Ambiguity
1999 tcs,132,content_page,appendices,37,CRS0042 The AV will have the capability of sending this information to the,other,soft,0.4,0,0.97482884,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.729801,0.27019897,0.729801,roberta-base,LOW_CONFIDENCE_REVIEW,UNCERTAIN,AMBIGUOUS,0.7298,"[np.str_('this'), np.str_('CRS0042'), np.str_('The'), np.str_('information'), np.str_('capability'), np.str_('the'), np.str_('will'), np.str_('AV')]","[0.52889, -0.20758, 0.0823, 0.07793, 0.07282, 0.06129, 0.05392, -0.03236]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.730. The most influential words according to local perturbations are: this, CRS0042, The, information, capability, the, will, AV.",LIME_TextExplainer_RoBERTa_Ambiguity
2003 pnnl,84,content_page,appendices,14,"then set Sump Temp Control OK/Not= ""Not OK. The CT fans are off but should be on.""",other,medium,0.5,0,0.9408902,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.95809966,0.041900344,0.95809966,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,AMBIGUOUS,0.9581,"[np.str_('should'), np.str_('be'), np.str_('OK'), np.str_('but'), np.str_('off'), np.str_('on'), np.str_('set'), np.str_('The')]","[0.42543, 0.18987, 0.08467, 0.07484, 0.0674, 0.06252, 0.05738, 0.05015]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.958. The most influential words according to local perturbations are: should, be, OK, but, off, on, set, The.",LIME_TextExplainer_RoBERTa_Ambiguity
2001 ctc network,5,content_page,appendices,35,data from these interfaces will communicate with the existing system in a “system specific”,other,soft,0.4,0,0.8089808,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.61169606,0.38830397,0.61169606,roberta-base,LOW_CONFIDENCE_REVIEW,UNCERTAIN,AMBIGUOUS,0.6117,"[np.str_('these'), np.str_('specific'), np.str_('will'), np.str_('interfaces'), np.str_('existing'), np.str_('from'), np.str_('in'), np.str_('system')]","[0.5192, 0.10566, 0.09474, -0.09403, 0.06647, -0.06476, 0.05069, -0.04956]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.612. The most influential words according to local perturbations are: these, specific, will, interfaces, existing, from, in, system.",LIME_TextExplainer_RoBERTa_Ambiguity
1995 gemini,68,content_page,design_constraints,10,"During science planning, there should be validity and feasibility checks to help",NFR,medium,0.9,0,0.9474499,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.97316724,0.026832836,0.97316724,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,AMBIGUOUS,0.9732,"[np.str_('should'), np.str_('be'), np.str_('help'), np.str_('checks'), np.str_('feasibility'), np.str_('planning'), np.str_('there'), np.str_('During')]","[0.578, 0.27836, 0.11358, 0.09582, 0.07562, -0.06236, 0.06093, -0.03293]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.973. The most influential words according to local perturbations are: should, be, help, checks, feasibility, planning, there, During.",LIME_TextExplainer_RoBERTa_Ambiguity
0000 gamma j,22,content_page,performance_requirements,39,The system should be able to create test environment of weborder system.,NFR,medium,0.9,1,0.77016824,NFR,HIGH_CONFIDENCE,NFR,usability,0.40740365,roberta-base,1,AMBIGUOUS,0.9783263,0.021673676,0.9783263,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,AMBIGUOUS,0.9783,"[np.str_('should'), np.str_('be'), np.str_('system'), np.str_('weborder'), np.str_('to'), np.str_('of'), np.str_('create'), np.str_('able')]","[0.76219, 0.17521, 0.09867, -0.05244, 0.04616, 0.03541, -0.02641, 0.02632]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.978. The most influential words according to local perturbations are: should, be, system, weborder, to, of, create, able.",LIME_TextExplainer_RoBERTa_Ambiguity
2001 beyond,22,content_page,introduction,23,"should be able to support specification, simulation and code generation of UI aspects",other,medium,0.5,0,0.94663364,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.9717824,0.02821764,0.9717824,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,AMBIGUOUS,0.9718,"[np.str_('should'), np.str_('be'), np.str_('support'), np.str_('simulation'), np.str_('of'), np.str_('generation'), np.str_('UI'), np.str_('able')]","[0.56047, 0.17372, 0.16472, -0.05244, -0.05078, 0.04422, -0.03873, -0.02723]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.972. The most influential words according to local perturbations are: should, be, support, simulation, of, generation, UI, able.",LIME_TextExplainer_RoBERTa_Ambiguity
1995 gemini,52,content_page,design_constraints,14,"recompiling but will be updated as part of system startup, and, for some constants,",NFR,soft,0.8,0,0.9856038,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.8442351,0.15576492,0.8442351,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,AMBIGUOUS,0.8442,"[np.str_('updated'), np.str_('some'), np.str_('and'), np.str_('as'), np.str_('recompiling'), np.str_('will'), np.str_('be'), np.str_('system')]","[0.39705, 0.23138, 0.10117, 0.10022, -0.09922, 0.09814, 0.06862, 0.06033]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.844. The most influential words according to local perturbations are: updated, some, and, as, recompiling, will, be, system.",LIME_TextExplainer_RoBERTa_Ambiguity
2003 tachonet,17,content_page,introduction,24,enforcers are also considered as CIA users who should then be managed by each Member State,other,medium,0.5,0,0.6730242,FR,LOW_CONFIDENCE_REVIEW,UNCERTAIN,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.9704394,0.02956062,0.9704394,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,AMBIGUOUS,0.9704,"[np.str_('should'), np.str_('be'), np.str_('each'), np.str_('as'), np.str_('managed'), np.str_('considered'), np.str_('by'), np.str_('enforcers')]","[0.56557, 0.21663, 0.20906, 0.09041, 0.08668, 0.0732, 0.05955, -0.04767]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.970. The most influential words according to local perturbations are: should, be, each, as, managed, considered, by, enforcers.",LIME_TextExplainer_RoBERTa_Ambiguity
1995 gemini,30,content_page,design_constraints,16,"should be possible to carry out observations automatically, in accordance with pre-",NFR,medium,0.9,0,0.95625705,FR,HIGH_CONFIDENCE,FR,not_applicable,0.0,roberta-base,1,AMBIGUOUS,0.97252446,0.02747555,0.97252446,roberta-base,HIGH_CONFIDENCE,AMBIGUOUS,AMBIGUOUS,0.9725,"[np.str_('should'), np.str_('be'), np.str_('automatically'), np.str_('accordance'), np.str_('observations'), np.str_('possible'), np.str_('with'), np.str_('out')]","[0.5587, 0.13268, 0.09394, 0.09081, 0.08186, -0.05109, 0.04979, 0.04677]","LIME explains the RoBERTa ambiguity prediction 'AMBIGUOUS' with confidence 0.973. The most influential words according to local perturbations are: should, be, automatically, accordance, observations, possible, with, out.",LIME_TextExplainer_RoBERTa_Ambiguity
