section_id,section_title,generated_requirement_id,generated_requirement_text,generated_word_count,generated_has_modal,generated_has_vague_terms,generated_has_numeric_or_quality_constraint,generated_has_actor_or_system,generated_clarity_score,generated_testability_score,generated_measurability_score,generated_completeness_score,generated_quality_score,generated_quality_label,xai_quality_explanation
2,General Description,GREQ-2-001,Accessibility: The system must be accessible via web browsers.,9,True,False,False,True,100,100,80,100,95.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement may need a measurable threshold or quality constraint.', 'The requirement mentions an actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-002,Scalability: The system should support high traffic volumes without compromising performance.,11,True,False,False,True,100,100,80,100,95.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement may need a measurable threshold or quality constraint.', 'The requirement mentions an actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-003,Requirement:** Students must be able to register and authenticate themselves using a unique identifier and password.,16,True,False,True,False,100,100,100,80,95.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement contains a numeric or quality constraint, improving measurability.', 'The requirement may need a clearer actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-004,Requirement:** Teachers must be authenticated before they can access the teacher dashboard.,12,True,False,False,True,100,100,80,100,95.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement may need a measurable threshold or quality constraint.', 'The requirement mentions an actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-005,"Requirement:** Administrators must be able to create new courses and classes, assign instructors, and manage course schedules.",17,True,False,False,False,100,100,80,80,90.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement may need a measurable threshold or quality constraint.', 'The requirement may need a clearer actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-006,Requirement:** Teachers must be able to create attendance sessions for specific classes or events.,14,True,False,False,False,100,100,80,80,90.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement may need a measurable threshold or quality constraint.', 'The requirement may need a clearer actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-007,Requirement:** Students must be able to check in during the specified session.,12,True,False,False,False,100,100,80,80,90.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement may need a measurable threshold or quality constraint.', 'The requirement may need a clearer actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-008,Requirement:** Administrators must be able to generate detailed attendance reports for each class or event.,15,True,False,False,False,100,100,80,80,90.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement may need a measurable threshold or quality constraint.', 'The requirement may need a clearer actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-009,"Requirement:** Administrators must have a dedicated dashboard to view all managed courses, check attendance reports, and manage other administrative tasks.",20,True,False,False,False,100,100,80,80,90.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement may need a measurable threshold or quality constraint.', 'The requirement may need a clearer actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
2,General Description,GREQ-2-010,Requirement:** All user data must be protected against unauthorized access and breaches.,12,True,False,True,True,100,100,100,100,100.0,STRONG_GENERATED_REQUIREMENT,"['The requirement uses a clear modal verb such as shall, must, or should.', 'No major vague term was detected.', 'The requirement contains a numeric or quality constraint, improving measurability.', 'The requirement mentions an actor or system component.', 'The requirement has sufficient length for basic interpretation.']"
